Fecha,Estado,Ciudad,Tipo,Canal,Precio
2025-08-13,Sonora,Cd. Obregón,Pasteurizada,Autoservicios,28.83
2025-08-13,Sonora,Hermosillo,Pasteurizada,Autoservicios,26.88
2025-08-13,Sonora,Nogales,Pasteurizada,Autoservicios,
2025-08-13,Sonora,San Luis Río Colorado,Pasteurizada,Autoservicios,0.0
2025-08-13,Tabasco,Villahermosa,Pasteurizada,Autoservicios,
2025-08-13,Tamaulipas,Cd. Victoria,Pasteurizada,Autoservicios,27.76
2025-08-13,Tamaulipas,Matamoros,Pasteurizada,Autoservicios,29.15
2025-08-13,Tamaulipas,Nuevo Laredo,Pasteurizada,Autoservicios,27.03
2025-08-13,Tamaulipas,Reynosa,Pasteurizada,Autoservicios,28.83
2025-08-13,Tamaulipas,Tampico,Pasteurizada,Autoservicios,19.25
2025-08-13,Tlaxcala,Tlaxcala,Pasteurizada,Autoservicios,27.5
2025-08-13,Veracruz,Coatzacoalcos,Pasteurizada,Autoservicios,
2025-08-13,Veracruz,Xalapa,Pasteurizada,Autoservicios,
2025-08-13,Veracruz,Veracruz ,Pasteurizada,Autoservicios,
2025-08-13,Yucatán,Mérida,Pasteurizada,Autoservicios,
2025-08-13,Zacatecas,Zacatecas,Pasteurizada,Autoservicios,26.3
2025-08-13,Aguascalientes ,Aguascalientes,Ultrapasteurizada,Tiendas,30.9
2025-08-13,Baja California,Mexicali,Ultrapasteurizada,Tiendas,24.83
2025-08-13,Baja California,Tijuana,Ultrapasteurizada,Tiendas,31.82
2025-08-13,Baja California Sur,La Paz,Ultrapasteurizada,Tiendas,31.0
2025-08-13,Campeche,Campeche,Ultrapasteurizada,Tiendas,31.75
2025-08-13,Coahuila,Piedras Negras,Ultrapasteurizada,Tiendas,31.45
2025-08-13,Coahuila,Saltillo,Ultrapasteurizada,Tiendas,29.88
2025-08-13,Coahuila,Torreón,Ultrapasteurizada,Tiendas,38.0
2025-08-13,Colima,Colima,Ultrapasteurizada,Tiendas,26.5
2025-08-13,Chiapas,Tapachula,Ultrapasteurizada,Tiendas,30.8
2025-08-13,Chiapas,Tuxtla Gutiérrez,Ultrapasteurizada,Tiendas,28.5
2025-08-13,Chihuahua,Chihuahua,Ultrapasteurizada,Tiendas,36.1
2025-08-13,Chihuahua,Cd.Juárez,Ultrapasteurizada,Tiendas,
2025-08-13,CDMX,Ciudad de México,Ultrapasteurizada,Tiendas,28.05
2025-08-13,CDMX,ZM Ciudad de México,Ultrapasteurizada,Tiendas,25.65
2025-08-13,Durango,Durango,Ultrapasteurizada,Tiendas,
2025-08-13,Durango,Gómez Palacio,Ultrapasteurizada,Tiendas,38.95
2025-08-13,Guanajuato,León,Ultrapasteurizada,Tiendas,23.56
2025-08-13,Guanajuato,Celaya,Ultrapasteurizada,Tiendas,28.75
2025-08-13,Guerrero,Acapulco,Ultrapasteurizada,Tiendas,32.46
2025-08-13,Guerrero,Chilpancingo,Ultrapasteurizada,Tiendas,30.17
2025-08-13,Hidalgo,Pachuca,Ultrapasteurizada,Tiendas,28.0
2025-08-13,Jalisco,Guadalajara,Ultrapasteurizada,Tiendas,33.0
2025-08-13,Jalisco,ZM Guadalajara,Ultrapasteurizada,Tiendas,32.64
2025-08-13,Edo. México,Toluca,Ultrapasteurizada,Tiendas,29.6
2025-08-13,Michoacán,Morelia,Ultrapasteurizada,Tiendas,28.75
2025-08-13,Morelos,Cuernavaca,Ultrapasteurizada,Tiendas,29.0
2025-08-13,Nayarit,Tepic,Ultrapasteurizada,Tiendas,27.29
2025-08-13,Nuevo León,Monterrey,Ultrapasteurizada,Tiendas,40.0
